match_number	match_percentage	pattern_match
70123	0.5863715422952136	13
30695	0.2566729103254507	12
10287	0.08602033648861089	11
4720	0.03946884302772853	10
2083	0.01741813559888952	9
910	0.007609459143057832	8
403	0.003369903334782754	7
207	0.001730942903970298	6
86	0.0007191356992340369	5
43	0.00035956784961701843	4
18	0.00015051677425828678	3
8	6.689634411479413e-05	2
4	3.3448172057397066e-05	1
1	8.362043014349267e-06	0
